1,Lightbox,,,1200000,11/1/2010,1/1/2013,745052,7,,,17496,72,106,10565,65,53
2,EyeEm,,,,2/1/2011,1/1/2013,58684,8,500000,4.1,5612,55,31,19687,57,14
3,Flickr,,,,1/1/2004,1/1/2013,63,36,5000000,3.8,251745,74,116,,,
4,LiveShare,,,,,1/1/2013,,,500000,3.9,1186,,,,,
5,Photobucket,,,13500000,,1/1/2013,,,10000000,3.9,58779,46,103,,,
6,picplz,,,,,1/1/2013,,,,,6204,75,4,,,
7,Snapr,,,,,1/1/2013,,,10000,3.6,272,0,2,,,
8,Streamzoo,,,,,1/1/2013,,,5000000,4.5,5998,68,44,,,
9,Trover,,,,,1/1/2013,,,50000,3.6,4190,100,8,,,
10,Snapchat,,,12000000,,1/1/2013,,,5000000,3.5,74972,46,79,,,
11,Instagram,,,,,1/1/2013,,,100000000,4.6,14343279,71,77,,,
12,Mobli,,,,,1/1/2013,,,500000,4.2,92774,79,124,,,
13,Muzy,,,,,1/1/2013,,,5000000,4.6,351041,89,122,,,
